,weight
ADBE,0.02950952263946797
GOOGL,0.09174845547177761
AMZN,0.11114991809668795
AMGN,0.012214171161936956
AAPL,0.10796356127606194
ADP,0.03585832234132282
BKNG,0.010211278087149838
AVGO,0.020281314369647797
CSCO,0.038406974398678684
CMCSA,0.026836897542667732
FB,0.052668136483880065
GILD,0.024937519345469582
INTC,0.02805358121859004
ISRG,0.01564859208880862
LBTYK,0.0141639314515929
MU,0.01908620582925938
MSFT,0.09531832440608552
MDLZ,0.01816741536761865
NFLX,0.026009994295716665
NVDA,0.011482847735436189
PCAR,0.026343742053207643
PYPL,0.024567164257887242
PEP,0.04073473316216629
QCOM,0.01341518849161692
REGN,0.012391220799155243
TSLA,0.006796371660413719
TXN,0.03590361264139338
VRSK,0.018409641969801868
VRTX,0.017274113207725504
WBA,0.014447248148775202
